timestamp,detector,tipo,close,open,high,low,volume,extremo_price,index_posicion
1846,zigzag,pico,1.170548915863037,1.1700011491775513,1.170548915863037,1.169727444648743,0,1.170548915863037,1846
1903,zigzag,valle,1.1661807298660278,1.1664528846740725,1.1665889024734497,1.1661807298660278,0,1.1661807298660278,1903
1915,zigzag,pico,1.166997313499451,1.1672697067260742,1.1672697067260742,1.1668611764907837,0,1.166997313499451,1915
1937,zigzag,valle,1.1659088134765625,1.1668611764907837,1.1668611764907837,1.1657729148864746,0,1.1659088134765625,1937
1962,zigzag,pico,1.1689070463180542,1.168770432472229,1.1689070463180542,1.1683608293533323,0,1.1689070463180542,1962
2034,zigzag,valle,1.1627906560897827,1.16441547870636,1.16441547870636,1.1626555919647217,0,1.1627906560897827,2034
2064,zigzag,pico,1.1672697067260742,1.1665889024734497,1.1672697067260742,1.1665889024734497,0,1.1672697067260742,2064
2133,zigzag,valle,1.1633317470550537,1.1633317470550537,1.163602590560913,1.163061261177063,0,1.1633317470550537,2133
2150,zigzag,pico,1.16604483127594,1.1655012369155884,1.1661807298660278,1.1655012369155884,0,1.16604483127594,2150
2166,zigzag,valle,1.161035656929016,1.1619800329208374,1.1619800329208374,1.1607661247253418,0,1.161035656929016,2166
2167,zigzag,pico,1.162520408630371,1.161170482635498,1.162520408630371,1.1606314182281494,0,1.162520408630371,2167
2170,zigzag,valle,1.1606314182281494,1.1607661247253418,1.1607661247253418,1.1606314182281494,0,1.1606314182281494,2170
