timestamp,tipo,close,open,high,low,volume,extremo_price,index_posicion
176,soporte,1.1728830337524414,1.1737089157104492,1.1737089157104492,1.1726078987121582,0,1.1728830337524414,176
261,soporte,1.1739845275878906,1.1742602586746216,1.1743981838226318,1.17384672164917,0,1.1739845275878906,261
266,resistencia,1.1789672374725342,1.1775789260864258,1.1791062355041504,1.1775789260864258,0,1.1789672374725342,266
351,soporte,1.1716461181640625,1.172333002090454,1.172333002090454,1.1716461181640625,0,1.1716461181640625,351
360,soporte,1.1710972785949707,1.1726078987121582,1.1726078987121582,1.1709601879119873,0,1.1710972785949707,360
421,soporte,1.1719207763671875,1.1742602586746216,1.1742602586746216,1.1716461181640625,0,1.1719207763671875,421
427,soporte,1.1679514646530151,1.1694538593292236,1.1694538593292236,1.1679514646530151,0,1.1679514646530151,427
520,soporte,1.1532695293426514,1.154068112373352,1.1548677682876587,1.1532695293426514,0,1.1532695293426514,520
547,resistencia,1.155001163482666,1.15340256690979,1.155001163482666,1.15340256690979,0,1.155001163482666,547
640,soporte,1.1465259790420532,1.1477103233337402,1.1481056213378906,1.1463946104049685,0,1.1465259790420532,640
660,resistencia,1.1490291357040403,1.1491611003875732,1.1498217582702637,1.1486331224441528,0,1.1490291357040403,660
711,resistencia,1.1462632417678833,1.1453442573547363,1.1462632417678833,1.1453442573547363,0,1.1462632417678833,711
737,soporte,1.1411616802215576,1.1422044038772583,1.1422044038772583,1.1411616802215576,0,1.1411616802215576,737
743,resistencia,1.1449507474899292,1.144426703453064,1.145213007926941,1.1442956924438477,0,1.1449507474899292,743
829,soporte,1.1397310495376587,1.1407711505889893,1.1409013271331787,1.1396011114120483,0,1.1397310495376587,829
834,resistencia,1.1576753854751587,1.157139539718628,1.1586142778396606,1.1568717956542969,0,1.1576753854751587,834
841,soporte,1.154068112373352,1.155401587486267,1.1556684970855713,1.154068112373352,0,1.154068112373352,841
844,resistencia,1.156203031539917,1.1556684970855713,1.156203031539917,1.1551345586776731,0,1.156203031539917,844
855,soporte,1.1531364917755127,1.1548677682876587,1.155001163482666,1.1531364917755127,0,1.1531364917755127,855
869,resistencia,1.159151554107666,1.1587486267089844,1.1592857837677002,1.1587486267089844,0,1.159151554107666,869
904,soporte,1.1555349826812744,1.1564704179763794,1.1564704179763794,1.155401587486267,0,1.1555349826812744,904
914,resistencia,1.1586142778396606,1.1576753854751587,1.1586142778396606,1.1576753854751587,0,1.1586142778396606,914
918,soporte,1.156738042831421,1.1570056676864624,1.1570056676864624,1.1564704179763794,0,1.156738042831421,918
1021,soporte,1.1538017988204956,1.155401587486267,1.155401587486267,1.1536686420440674,0,1.1538017988204956,1021
1216,soporte,1.16225004196167,1.1631964445114136,1.1631964445114136,1.16225004196167,0,1.16225004196167,1216
1235,soporte,1.162520408630371,1.1626555919647217,1.1627906560897827,1.1623852252960205,0,1.162520408630371,1235
1490,resistencia,1.1659088134765625,1.1629259586334229,1.1659088134765625,1.1629259586334229,0,1.1659088134765625,1490
1493,soporte,1.1626555919647217,1.163602590560913,1.1642799377441406,1.162520408630371,0,1.1626555919647217,1493
1502,resistencia,1.1700011491775513,1.169180393218994,1.1700011491775513,1.1679514646530151,0,1.1700011491775513,1502
1504,soporte,1.1672697067260742,1.1676785945892334,1.1676785945892334,1.166997313499451,0,1.1672697067260742,1504
1667,soporte,1.1672697067260742,1.1679514646530151,1.1682243347167969,1.1671334505081177,0,1.1672697067260742,1667
1850,soporte,1.1675423383712769,1.1684973239898682,1.1684973239898682,1.1675423383712769,0,1.1675423383712769,1850
2167,resistencia,1.162520408630371,1.161170482635498,1.162520408630371,1.1606314182281494,0,1.162520408630371,2167
